Hãng xe,Dòng xe,Xuất xứ,Kiểu dáng,Hộp số,Loại động cơ,Năm sản xuất,Số Km đã đi,Số ngày bài đã đăng,Dung tích động cơ,Giá thực tế,Giá dự đoán
hyundai,tucson 2.0 at 2019,lắp ráp trong nước,crossover,số tự động,xăng,2019.0,60000.0,58.0,2.0,595.0,578.9321072197126
vinfast,fadil 1.4 at plus 2021,lắp ráp trong nước,hatchback,số tự động,xăng,2021.0,31000.0,72.0,1.4,299.0,324.4628751028752
toyota,vios e cvt 2024,lắp ráp trong nước,sedan,số tự động,xăng,2024.0,26000.0,58.0,1.5,455.0,449.1267009963739
hyundai,santafe cao cấp 2.5l htrac 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,69000.0,59.0,2.5,995.0,1044.51520125661
nissan,x trail 2.5 sv 4wd premium 2018,lắp ráp trong nước,suv,số tự động,xăng,2018.0,179626.7683965918,57.0,2.5,518.0,504.52281805257286
mazda,3 1.5l sport luxury 2019,lắp ráp trong nước,hatchback,số tự động,xăng,2019.0,55000.0,71.0,1.5,432.0,452.1000055803448
mitsubishi,xforce premium 2024,nhập khẩu,suv,số tự động,xăng,2024.0,179626.7683965918,82.0,1.5,650.0,600.2758824464623
audi,a5 sportback 2.0 2017,nhập khẩu,sedan,số tự động,xăng,2017.0,179626.7683965918,60.0,2.0,950.0,958.9982848958128
acura,mdx sh,nhập khẩu,suv,số tự động,xăng,2008.0,140000.0,58.0,3.7,2008.0,1937.7048734491352
mitsubishi,pajero sport 2.4d 4x2 at 2021,nhập khẩu,suv,số tự động,dầu,2021.0,60000.0,57.0,2.4,840.0,841.2761982231258
lexus,rx 350 awd 2014,nhập khẩu,suv,số tự động,xăng,2014.0,200000.0,57.0,3.5,999.0,1183.2261317435893
toyota,raize g 1.0 cvt 2024,nhập khẩu,suv,số tự động,xăng,2024.0,2000.0,57.0,1.0,510.0,504.3649001352306
kia,sorento dmt 2.2l 2wd 2014,lắp ráp trong nước,suv,số tay,dầu,2014.0,160000.0,57.0,2.2,390.0,286.70829278789756
ford,ranger xls 2.2l 4x2 at 2018,nhập khẩu,bán tải / pickup,số tự động,dầu,2018.0,80000.0,57.0,2.2,495.0,496.46400212241264
ford,everest titanium 2.0l 4x2 at 2022,nhập khẩu,suv,số tự động,dầu,2022.0,24000.0,58.0,2.0,1140.0,1079.1256309225519
mercedes,benz e class e200 exclusive 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,10000.0,57.0,2.0,1739.0,1697.5582627213216
ford,ecosport titanium 1.5 at 2021,lắp ráp trong nước,suv,số tự động,xăng,2021.0,68000.0,57.0,1.5,458.0,457.9635839654875
mercedes,benz s class s450l 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,48000.0,58.0,3.0,2088.0,2095.5721758083773
mercedes,benz e class e200 sport 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,70000.0,57.0,2.0,1250.0,1191.673998111249
bmw,5 series 528i gt 2015,nhập khẩu,sedan,số tự động,xăng,2015.0,15000.0,57.0,2.0,1059.0,882.9515688396614
vinfast,vf7 eco 2025,lắp ráp trong nước,suv,số tự động,điện,2025.0,179626.7683965918,74.0,2.097755539082448,715.0,742.359297875197
mazda,3 1.5 at 2015,lắp ráp trong nước,hatchback,số tự động,xăng,2015.0,100000.0,59.0,1.5,360.0,351.2052948331187
audi,q5 sline 45 tfsi quattro 2024,nhập khẩu,suv,số tự động,xăng,2024.0,5000.0,63.0,2.0,2060.0,2125.0210606921673
hyundai,i10 grand 1.2 at 2020,lắp ráp trong nước,hatchback,số tự động,xăng,2020.0,40000.0,58.0,1.25,335.0,321.3506832556234
mitsubishi,outlander premium 2.0 cvt 2023,lắp ráp trong nước,suv,số tự động,xăng,2023.0,179626.7683965918,57.0,2.0,830.0,762.7974584052217
hyundai,i20 1.4 at 2011,nhập khẩu,hatchback,số tự động,xăng,2011.0,102000.0,57.0,1.4,239.0,221.5756631279043
toyota,yaris 1.5 at 2013,nhập khẩu,hatchback,số tự động,xăng,2013.0,179626.7683965918,58.0,1.5,280.0,274.2721083703648
toyota,innova 2.0g 2019,lắp ráp trong nước,crossover,số tự động,xăng,2019.0,85555.0,57.0,2.0,485.0,549.6539509496806
mercedes,benz glc 300 4matic coupe 2020,nhập khẩu,suv,số tự động,xăng,2020.0,179626.7683965918,64.0,2.0,1759.0,1683.5472865538682
hyundai,accent 1.4 at 2021,lắp ráp trong nước,sedan,số tự động,xăng,2021.0,60000.0,84.0,1.4,395.0,397.98742047774044
hyundai,elantra 2.0 at 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,25000.0,57.0,2.0,465.0,445.18087253668756
suzuki,swift glx 1.2 at 2019,nhập khẩu,hatchback,số tự động,xăng,2019.0,62000.0,57.0,1.2,425.0,399.35286530413464
honda,hrv rs 2024,nhập khẩu,crossover,số tự động,xăng,2024.0,3300.0,57.0,1.5,825.0,536.3982764599449
hyundai,kona 2.0 at 2020,lắp ráp trong nước,crossover,số tự động,xăng,2020.0,60000.0,57.0,2.0,435.0,469.0029337806666
mg,5 luxury 1.5 at 2022,nhập khẩu,sedan,số tự động,xăng,2022.0,40000.0,60.0,1.5,415.0,398.9226485046627
mercedes,benz s class s63 amg 2008,nhập khẩu,sedan,số tự động,xăng,2008.0,89800.0,57.0,6.2,540.0,998.8028244549846
ford,everest 2.5l 4x2 at 2015,lắp ráp trong nước,suv,số tự động,dầu,2015.0,91000.0,58.0,2.5,329.0,386.09626991668847
hyundai,i10 grand 1.2 mt 2019,lắp ráp trong nước,sedan,số tay,xăng,2019.0,37000.0,73.0,1.25,269.0,237.32738019782127
kia,soluto 1.4 at luxury 2020,lắp ráp trong nước,sedan,số tự động,xăng,2020.0,39000.0,59.0,1.4,358.0,275.95437301084155
lexus,gx 460 2015,nhập khẩu,suv,số tự động,xăng,2015.0,150000.0,57.0,4.6,2150.0,2215.8343308340163
mercedes,benz c class c300 amg 2011,lắp ráp trong nước,sedan,số tự động,xăng,2011.0,120000.0,57.0,3.0,310.0,269.7619968159623
honda,hrv g 2024,nhập khẩu,crossover,số tự động,xăng,2024.0,179626.7683965918,57.0,1.5,695.0,652.3021914773719
mercedes,benz e class e200 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,59000.0,57.0,2.0,1059.0,1040.1706825230563
mazda,6 signature premium 2.5 at 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,43000.0,61.0,2.5,719.0,703.4870292339767
hyundai,santafe cao cấp 2.2l htrac 2021,lắp ráp trong nước,suv,số tự động,dầu,2021.0,60000.0,57.0,2.2,890.0,1000.6215321870048
vinfast,vf3 plus 2025,lắp ráp trong nước,hatchback,số tự động,điện,2025.0,500.0,57.0,2.097755539082448,285.0,258.6970644288121
kia,sonet deluxe 1.5 at 2023,lắp ráp trong nước,crossover,số tự động,xăng,2023.0,24000.0,64.0,1.5,495.0,498.4212960684498
hyundai,creta đặc biệt 1.5 at 2022,nhập khẩu,crossover,số tự động,xăng,2022.0,179626.7683965918,57.0,1.5,565.0,564.3941762946519
ford,ranger raptor 2.0l 4x4 at 2019,nhập khẩu,bán tải / pickup,số tự động,dầu,2019.0,80000.0,57.0,2.0,800.0,883.6620336130436
lexus,rx 400h 2008,nhập khẩu,suv,số tự động,hybrid,2008.0,120000.0,89.0,3.3,460.0,820.2030168725275
kia,sportage signature x,lắp ráp trong nước,crossover,số tự động,xăng,2022.0,52000.0,60.0,1.6,1.0,1.0137394224113299
ford,territory titanium x 1.5 at 2024,lắp ráp trong nước,suv,số tự động,xăng,2024.0,179626.7683965918,75.0,1.5,775.0,803.7523070352008
honda,civic g 1.8 at 2020,nhập khẩu,sedan,số tự động,xăng,2020.0,67000.0,71.0,1.8,545.0,550.3623266148378
mitsubishi,outlander premium 2.0 cvt 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,45000.0,57.0,2.0,725.0,750.460310782648
hyundai,accent 1.4 at 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,40000.0,83.0,1.4,425.0,417.4580801634343
chevrolet,trailblazer ltz 2.5l vgt 4x4 at 2018,nhập khẩu,suv,số tự động,dầu,2018.0,179626.7683965918,85.0,2.5,595.0,575.0261220711517
bmw,3 series 320i 2015,nhập khẩu,sedan,số tự động,xăng,2015.0,110000.0,60.0,2.0,499.0,510.80595448173705
mazda,3 1.5l luxury 2021,lắp ráp trong nước,sedan,số tự động,xăng,2021.0,50000.0,57.0,1.5,540.0,518.4931980133548
mercedes,benz ml class ml350 2007,nhập khẩu,suv,số tự động,xăng,2007.0,110000.0,57.0,3.5,320.0,285.1762947859154
mercedes,benz c class c300 amg 2021,lắp ráp trong nước,sedan,số tự động,xăng,2021.0,15000.0,57.0,2.0,1339.0,1296.3341961613319
hyundai,elantra 2.0 at 2018,lắp ráp trong nước,sedan,số tự động,xăng,2018.0,51000.0,57.0,2.0,445.0,376.374028861271
mitsubishi,xpander cross 1.5 at 2023,nhập khẩu,suv,số tự động,xăng,2023.0,38.0,104.0,1.5,595.0,588.5761500336585
hyundai,santafe cao cấp 2.2l htrac 2022,lắp ráp trong nước,suv,số tự động,dầu,2022.0,5300.0,57.0,2.2,1169.0,1134.9887855681707
kia,carens 2.0 at 2009,nhập khẩu,crossover,số tự động,xăng,2009.0,179626.7683965918,57.0,2.0,185.0,159.75076361757954
hyundai,creta tiêu chuẩn 1.5 at 2022,nhập khẩu,crossover,số tự động,xăng,2022.0,179626.7683965918,59.0,1.5,538.0,527.908765330112
volvo,xc60 inscription b6 awd 2021,nhập khẩu,suv,số tự động,xăng,2021.0,79000.0,57.0,2.0,1599.0,1599.9294161697123
jaguar,xj series xjl 2.0 portfolio 2016,nhập khẩu,sedan,số tự động,xăng,2016.0,53000.0,57.0,2.0,1379.0,685.5411189037965
kia,cerato 2.0 at premium 2020,lắp ráp trong nước,sedan,số tự động,xăng,2020.0,93000.0,76.0,2.0,455.0,477.0361232063202
mercedes,benz c class c300 amg 2015,lắp ráp trong nước,sedan,số tự động,xăng,2015.0,100000.0,63.0,2.0,650.0,649.1224158736061
mazda,3 1.5 at 2018,lắp ráp trong nước,sedan,số tự động,xăng,2018.0,25000.0,64.0,1.5,465.0,423.3391646381531
toyota,vios 1.5g 2020,lắp ráp trong nước,sedan,số tự động,xăng,2020.0,60000.0,57.0,1.5,419.0,396.7233950099543
kia,soluto 1.4 at deluxe 2021,lắp ráp trong nước,sedan,số tự động,xăng,2021.0,30000.0,60.0,1.4,345.0,345.73967100436204
honda,crv l 2019,nhập khẩu,suv,số tự động,xăng,2019.0,75000.0,57.0,1.5,735.0,756.4282979434715
kia,cerato 1.6 at luxury 2018,lắp ráp trong nước,sedan,số tự động,xăng,2018.0,80000.0,63.0,1.6,430.0,426.1777043810235
toyota,innova g 2007,lắp ráp trong nước,crossover,số tay,xăng,2007.0,140000.0,57.0,2.0,168.0,156.5151960187821
