Hãng xe,Dòng xe,Giá thành,Thông số
Vinfast,Fadil Tieu Chuan 1 4 At 2022,330000000,"Năm sản xuất: 2022, Số Km đã đi: 30000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.4"
Ford,Everest 2 5L 4X2 At 2014,375000000,"Năm sản xuất: 2014, Số Km đã đi: 0, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.5"
Ford,Focus S 2 0 At 2015,315000000,"Năm sản xuất: 2015, Số Km đã đi: 100000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Ford,Ranger Wildtrak 2 0L 4X2 At 2019,550000000,"Năm sản xuất: 2019, Số Km đã đi: 0, Xuất xứ: Nhập khẩu, Kiểu dáng: Bán tải / Pickup, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.0"
Honda,Crv L 2019,733000000,"Năm sản xuất: 2019, Số Km đã đi: 50000, Xuất xứ: Nhập khẩu, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.5"
Hyundai,Santafe Tieu Chuan 2 2L 2021,815000000,"Năm sản xuất: 2021, Số Km đã đi: 76000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.2"
Kia,Carnival Signature 2 2D 2022,1150000000,"Năm sản xuất: 2022, Số Km đã đi: 65000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Van/Minivan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.2"
Kia,Morning Si At 2017,279000000,"Năm sản xuất: 2017, Số Km đã đi: 60000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.25"
Kia,Sedona 2 2L Dath 2017,679000000,"Năm sản xuất: 2017, Số Km đã đi: 92000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Van/Minivan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.2"
Mazda,2 1 5 At 2017,339000000,"Năm sản xuất: 2017, Số Km đã đi: 80000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.5"
