Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
55,54,665000000,0.9571323001010724,-0.022546460668935776,0,3,1,-0.604528152916388,2,-0.984765202894741
65,3752,460000000,0.5417950324350125,-0.019860286161198087,1,4,1,-0.604528152916388,2,-0.984765202894741
71,1759,935000000,0.33412639860198257,-0.013356916300359472,0,5,1,-0.604528152916388,0,0.3857054560792225
71,1807,1050000000,0.5417950324350125,-0.014770692357063518,0,5,1,-0.604528152916388,0,0.8425290090705436
71,2367,5186000000,0.9571323001010724,-0.017456866864801208,1,5,1,-0.604528152916388,2,1.5277643385575255
77,4269,1699000000,0.7494636662680425,-0.015053447568404328,1,5,1,-0.604528152916388,2,-0.07111809691209854
5,160,1399000000,0.5417950324350125,-0.01660860123077878,1,6,1,-0.604528152916388,2,-0.07111809691209854
26,3975,699000000,0.5417950324350125,-0.015194825174074732,0,3,1,-0.604528152916388,2,-0.07111809691209854
35,815,1129000000,0.7494636662680425,-0.014063804328711495,0,8,1,-0.604528152916388,0,0.15729367958356225
35,3573,495000000,-0.7042167705631672,-0.004167371931783168,0,5,1,-0.604528152916388,0,0.15729367958356225
38,3275,4268000000,0.9571323001010724,-0.02056717418955011,1,5,1,-0.604528152916388,2,0.3857054560792225
44,278,445000000,-0.08121086906407739,-0.0019053302410566933,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,612,595000000,-0.4965481367301373,-0.00727767925653207,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,659,999000000,0.1264577647689526,-0.009963853764269759,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,660,1039000000,0.33412639860198257,-0.0181638962707589,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,660,1059000000,0.33412639860198257,-0.017598244470471612,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1920,988000000,0.1264577647689526,-0.016184609791373237,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1942,2359000000,0.9571323001010724,-0.020779240598055717,0,5,1,-0.604528152916388,2,-0.07111809691209854
71,1107,500000000,-0.28887950289710734,-0.010529364186951377,0,6,1,-0.604528152916388,2,-0.07111809691209854
71,1767,935000000,0.7494636662680425,-0.01180176263798502,0,5,1,-0.604528152916388,0,0.3857054560792225
71,2208,238000000,-1.1195540382292273,-0.0030363510864199307,0,3,0,-0.604528152916388,2,-0.07111809691209854
71,2223,525000000,0.1264577647689526,0.0024773755347258512,0,3,1,-0.604528152916388,2,-0.07111809691209854
71,2398,5789000000,0.5417950324350125,-0.015477580385415541,1,5,1,-0.604528152916388,2,1.5277643385575255
76,3759,790000000,0.9571323001010724,-0.02183957264058375,1,3,1,-0.604528152916388,2,-1.2131769793904015
77,3340,1399000000,0.33412639860198257,-0.017739622076142016,1,6,1,-0.604528152916388,2,-0.07111809691209854
5,142,1599000000,1.1648009339341023,-0.021259924457335093,0,6,1,-0.604528152916388,2,-0.07111809691209854
5,198,2638000000,0.9571323001010724,-0.01943615334418687,1,1,1,-0.604528152916388,2,-0.07111809691209854
23,2117,486000000,-0.08121086906407739,-0.011660385032314615,1,3,1,-0.604528152916388,2,-0.2995298734077591
47,612,595000000,-0.4965481367301373,-0.0081259448905545,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,612,580000000,-0.4965481367301373,-0.012791405877677853,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,612,579000000,-0.4965481367301373,-0.012791405877677853,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,612,579000000,-0.4965481367301373,-0.012766947551896873,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1399,1039000000,0.1264577647689526,-0.013292165356962427,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1923,1359000000,0.7494636662680425,-0.018587887710164445,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1926,1389000000,0.5417950324350125,-0.015053447568404328,0,5,1,-0.604528152916388,2,-0.07111809691209854
47,1938,1099000000,0.1264577647689526,-0.010670741792621783,0,5,1,-0.604528152916388,2,-0.07111809691209854
