title,price,posted_date,specs
Xe VinFast Fadil 1.4 AT Plus 2021,315 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '29,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.4 L'}"
Xe VinFast Fadil 1.4 AT Plus 2021,320 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '40,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.4 L'}"
Xe VinFast Fadil Tiêu chuẩn 1.4 AT 2022,330 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '30,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.4 L'}"
Xe Ford Everest 2.5L 4x2 AT 2014,375 Triệu,30/09/2025,"{'Năm sản xuất': '2014', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.5 L'}"
Xe Ford Focus S 2.0 AT 2015,315 Triệu,30/09/2025,"{'Năm sản xuất': '2015', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '100,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Ford Ranger Wildtrak 2.0L 4x2 AT 2019,550 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Bán tải / Pickup', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.0 L'}"
Xe Honda CRV L 2019,733 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '50,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Hyundai SantaFe Tiêu chuẩn 2.2L 2021,815 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '76,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Kia Carnival Signature 2.2D 2022,1 Tỷ 150 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '65,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Kia Morning Si AT 2017,279 Triệu,30/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.25 L'}"
Xe Kia Sedona 2.2L DATH 2017,679 Triệu,30/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '92,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Mazda 2 1.5 AT 2017,339 Triệu,30/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '80,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Mercedes Benz C class C300 AMG 2012,348 Triệu,30/09/2025,"{'Năm sản xuất': '2012', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '130,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.0 L'}"
Xe Mercedes Benz C class C300 AMG 2022,1 Tỷ 799 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '30 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLC 200 2019,988 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '46,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLC 200 2022,1 Tỷ 358 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '28,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLC 300 4Matic 2023,2 Tỷ 358 Triệu,30/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '12,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Toyota Camry 2.5Q 2014,485 Triệu,30/09/2025,"{'Năm sản xuất': '2014', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '100,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.5 L'}"
Xe Toyota Fortuner 2.4G 4x2 AT Legender 2021,930 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '39,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.4 L'}"
Xe VinFast Fadil 1.4 AT 2021,290 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.4 L'}"
