title,price,posted_date,specs
Xe MG ZS Standard 1.5 AT 2WD 2023,419 Triệu,28/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '32,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Mitsubishi Mirage 1.2 CVT Eco 2019,285 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '35 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.2 L'}"
Xe Mitsubishi Xpander 1.5 AT 2021,510 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '49,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Porsche Macan 2.0 2021,2 Tỷ 786 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '28,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Toyota Corolla altis 1.8G MT 2004,118 Triệu,28/09/2025,"{'Năm sản xuất': '2004', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tay', 'Động cơ': 'Xăng  1.8 L'}"
Xe Toyota Highlander LE 2.7 2014,890 Triệu,28/09/2025,"{'Năm sản xuất': '2014', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.7 L'}"
Xe Toyota Vios 1.5G CVT 2021,425 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '40,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe BMW 3 Series 320i Sport Line 2024,1 Tỷ 399 Triệu,28/09/2025,"{'Năm sản xuất': '2024', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '18,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Fiat Doblo 1.6 2005,69 Triệu,28/09/2025,"{'Năm sản xuất': '2005', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '99,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tay', 'Động cơ': 'Xăng  1.6 L'}"
Xe Ford Fiesta S 1.0 AT Ecoboost 2015,245 Triệu,28/09/2025,"{'Năm sản xuất': '2015', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '100,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.0 L'}"
Xe Ford Territory Titanium X 1.5 AT 2025,850 Triệu,28/09/2025,"{'Năm sản xuất': '2025', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '8,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Ford Transit SVP 2017,390 Triệu,28/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '209,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tay', 'Động cơ': 'Dầu  2.4 L'}"
Xe Hyundai Elantra 1.6 AT 2018,400 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '80,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.6 L'}"
Xe Hyundai SantaFe Tiêu chuẩn 2.2L 2022,979 Triệu,28/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '80,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Kia Cerato 1.6 AT 2017,388 Triệu,28/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '88,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.6 L'}"
Xe Mercedes Benz C class C200 2016,620 Triệu,28/09/2025,"{'Năm sản xuất': '2016', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '120,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz C class C300 AMG 2017,739 Triệu,28/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '800,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLC 250 4Matic 2019,1 Tỷ 35 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '70,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLC 300 4Matic 2023,2 Tỷ 359 Triệu,28/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '15,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLC 300 4Matic Coupe 2021,2 Tỷ 88 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '69,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mitsubishi Triton GLS 4x4 MT 2011,238 Triệu,28/09/2025,"{'Năm sản xuất': '2011', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '160,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Bán tải / Pickup', 'Hộp số': 'Số tay', 'Động cơ': 'Dầu  2.5 L'}"
Xe Nissan Sunny XL 2019,250 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '70,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tay', 'Động cơ': 'Xăng  1.5 L'}"
Xe Toyota Fortuner 2.5G 2016,525 Triệu,28/09/2025,"{'Năm sản xuất': '2016', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '78,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tay', 'Động cơ': 'Dầu  2.5 L'}"
Xe Toyota Sienna Limited 3.5 2019,2 Tỷ 686 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.5 L'}"
Xe Toyota Vios 1.5E 2014,185 Triệu,28/09/2025,"{'Năm sản xuất': '2014', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '100,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tay', 'Động cơ': 'Xăng  1.5 L'}"
Xe VinFast VF8 Eco AWD 2023,750 Triệu,28/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '55,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Điện'}"
Xe Volkswagen Viloran Luxury 2024,2 Tỷ 139 Triệu,28/09/2025,"{'Năm sản xuất': '2024', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '20,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Ford Everest Titanium Plus 2.0L 4x4 AT 2024,1 Tỷ 415 Triệu,28/09/2025,"{'Năm sản xuất': '2024', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '20,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.0 L'}"
Xe Ford Focus Sport 1.5L 2018,465 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '76,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Hyundai Elantra Sport 1.6 AT 2021,475 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '70,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.6 L'}"
Xe Hyundai Tucson 2.0 AT 2018,540 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Kia Rondo GMT 2016,360 Triệu,28/09/2025,"{'Năm sản xuất': '2016', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tay', 'Động cơ': 'Xăng  2.0 L'}"
Xe Lexus LX 570 2018,6 Tỷ 299 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '70,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  5.7 L'}"
Xe Lexus LX 570 2021,7 Tỷ 986 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '50,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  5.7 L'}"
Xe Mercedes Benz E class E180 2023,1 Tỷ 850 Triệu,28/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '35 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Mitsubishi Xpander Cross 1.5 AT 2022,538 Triệu,28/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '50,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Nissan Teana 2.0 AT 2009,280 Triệu,28/09/2025,"{'Năm sản xuất': '2009', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Porsche Cayenne 3.6 V6 2014,1 Tỷ 188 Triệu,28/09/2025,"{'Năm sản xuất': '2014', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '92 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.6 L'}"
Xe Porsche Taycan Base 2021,3 Tỷ 990 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '19,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Điện'}"
Xe Ssangyong Tivoli 1.6 AT 2WD 2015,280 Triệu,28/09/2025,"{'Năm sản xuất': '2015', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '58,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.6 L'}"
Xe Toyota Alphard Luxury Executive Lounge 2023,4 Tỷ 686 Triệu,28/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '10,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.5 L'}"
Xe Toyota Camry SE 2.5 2011,550 Triệu,28/09/2025,"{'Năm sản xuất': '2011', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.5 L'}"
Xe Toyota Innova 2.0G 2015,410 Triệu,28/09/2025,"{'Năm sản xuất': '2015', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '66,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Toyota Sienna Limited 3.5 2019,2 Tỷ 690 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.5 L'}"
Xe Toyota Yaris 1.5 AT 2009,190 Triệu,28/09/2025,"{'Năm sản xuất': '2009', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '170,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Volvo XC90 Recharge T8 AWD 2021,2 Tỷ 885 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '77,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Hybrid  2.0 L'}"
Xe BMW 7 Series 750Li 2009,450 Triệu,28/09/2025,"{'Năm sản xuất': '2009', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '90,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  4.4 L'}"
Xe BMW X4 xDrive20i M Sport 2020,1 Tỷ 790 Triệu,28/09/2025,"{'Năm sản xuất': '2020', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '63,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Ford Everest Titanium 2.0L 4x2 AT 2020,860 Triệu,28/09/2025,"{'Năm sản xuất': '2020', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '56,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.0 L'}"
Xe Ford Explorer Limited 2.3L EcoBoost 2018,950 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.3 L'}"
Xe Ford Transit 2.4L 2011,220 Triệu,28/09/2025,"{'Năm sản xuất': '2011', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '160,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tay', 'Động cơ': 'Dầu  2.4 L'}"
Xe Honda CRV 2.4 AT,TG  2017 - 525 Triệu,28/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '139,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.4 L'}"
Xe Hyundai Elantra 1.6 AT Đặc biệt 2023,600 Triệu,28/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '18,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.6 L'}"
Xe Kia Sedona 2.2 DAT Luxury 2019,779 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '44,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Mazda CX 30 Luxury 2.0 AT 2022,589 Triệu,28/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '59,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mazda CX5 2.5 AT 2WD 2017,498 Triệu,28/09/2025,"{'Năm sản xuất': '2017', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '100,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.5 L'}"
Xe Mercedes Benz C class C300 AMG 2015,599 Triệu,28/09/2025,"{'Năm sản xuất': '2015', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '71,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz C class C300 AMG 2016,625 Triệu,28/09/2025,"{'Năm sản xuất': '2016', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz G class G63 AMG 2019,7 Tỷ 500 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  4.0 L'}"
Xe Mercedes Benz S class S450L 2020,2 Tỷ 399 Triệu,28/09/2025,"{'Năm sản xuất': '2020', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.0 L'}"
Xe Toyota Fortuner 2.4G 4x2 AT 2019,820 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '58,220 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.4 L'}"
Xe Toyota Fortuner 2.4G 4x2 MT 2018,670 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '125,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tay', 'Động cơ': 'Dầu  2.4 L'}"
Xe Toyota Highlander LE 2.7 2011,539 Triệu,28/09/2025,"{'Năm sản xuất': '2011', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '100,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.7 L'}"
Xe Toyota Innova 2.0E 2018,410 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '90,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tay', 'Động cơ': 'Xăng  2.0 L'}"
Xe Toyota Venza 2.7 2009,450 Triệu,28/09/2025,"{'Năm sản xuất': '2009', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '157,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.7 L'}"
Xe Toyota Vios 1.5G 2015,320 Triệu,28/09/2025,"{'Năm sản xuất': '2015', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '80,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe BMW 3 Series 320i GT 2016,610 Triệu,28/09/2025,"{'Năm sản xuất': '2016', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '70,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Ford Focus 2.0 AT 2007,115 Triệu,28/09/2025,"{'Năm sản xuất': '2007', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '180,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Ford Ranger Raptor 2.0L 4x4 AT 2023,1 Tỷ 155 Triệu,28/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '31,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Bán tải / Pickup', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.0 L'}"
Xe Ford Transit Van 2018,460 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '139,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tay', 'Động cơ': 'Dầu  2.4 L'}"
Xe Hyundai i10 Grand 1.2 AT 2021,325 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.25 L'}"
Xe Hyundai SantaFe Calligraphy 2.5L Turbo HTRAC 2024,1 Tỷ 199 Triệu,28/09/2025,"{'Năm sản xuất': '2024', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '0 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.5 L'}"
Xe Kia Rio 1.4 AT 2014,260 Triệu,28/09/2025,"{'Năm sản xuất': '2014', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '105,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Hatchback', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.4 L'}"
Xe Lexus LM 500h 2025,9 Tỷ 300 Triệu,28/09/2025,"{'Năm sản xuất': '2025', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '2,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Hybrid  2.4 L'}"
Xe Mercedes Benz E class E200 Sport 2019,1 Tỷ 199 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '80,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz E class E250 2018,1 Tỷ 35 Triệu,28/09/2025,"{'Năm sản xuất': '2018', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '40,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe Mercedes Benz GLE Class GLE 450 4Matic 2021,2 Tỷ 786 Triệu,28/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  3.0 L'}"
Xe Mercedes Benz V class V250 Luxury 2019,1 Tỷ 499 Triệu,28/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '70,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.0 L'}"
Xe MG 5 Luxury 1.5 AT 2022,409 Triệu,28/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '39,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
